onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
1395.9178	1397.7215	hc021	89	2	3	1	0.17	1	1	10.5	1	1385.4157	1395.9178	1396.4177	1	1397.7215	1.3038	0.00070304	1399.4172	1400.649
1412.5495	1414.033	hc021	90	1	3	2	0.64	0	0	11.375	0	1401.1672	1412.5495	1413.0494	1	1414.033	0.98364	0.00067078	1416.0416	n/a
1428.2979	1429.7923	hc021	91	1	3	1	0.05	0	0	10.5	0	1417.7989	1428.2979	1428.7979	1	1429.7923	0.99445	0.00067371	1431.7974	n/a
1443.1798	1444.6954	hc021	92	1	3	3	0.85	0	1	9.625	0	1433.5473	1443.1798	1443.6797	1	1444.6954	1.0157	0.00071477	1446.6675	n/a
1458.9314	1460.6392	hc021	93	1	3	1	0.29	0	1	10.5	0	1448.4292	1458.9314	1459.4313	1	1460.6392	1.208	0.00067445	1462.4277	n/a
1475.5607	1477.1184	hc021	94	1	3	3	0.77	1	0	11.375	0	1464.18	1475.5607	1476.0606	1	1477.1184	1.0578	0.00067298	1479.043	1480.2866
1491.3084	1493.2219	hc021	95	3	3	1	0.17	1	0	10.5	0	1480.7927	1491.3084	1491.8083	1	1493.2219	1.4135	0.00069864	1494.8079	1496.0394
1506.1902	1507.7809	hc021	96	2	3	3	0.78	1	1	9.625	0	1496.5578	1506.1902	1506.6902	1	1507.7809	1.0906	0.00067371	1509.6856	1510.9172
1521.9387	1523.5243	hc021	97	2	3	2	0.43	1	1	10.5	0	1511.4397	1521.9387	1522.4386	1	1523.5243	1.0857	0.00067518	1525.4383	1526.6722
1537.6956	1539.2839	hc021	98	3	3	3	0.65	1	1	10.5	0	1527.1883	1537.6956	1538.1955	1	1539.2839	1.0884	0.00067958	1541.1867	1542.4256
1554.3248	1556.2511	hc021	99	3	3	3	0.73	0	0	11.375	1	1542.9441	1554.3248	1554.8248	1	1556.2511	1.4263	0.00067371	1557.8185	n/a
1570.0877	1571.6987	hc021	100	2	3	1	0.3	0	0	10.5	1	1559.5735	1570.0877	1570.5709	1	1571.6987	1.1278	0.00067811	1573.57	n/a
1585.8173	1587.5461	hc021	101	1	3	3	0.9	0	0	10.5	0	1575.3197	1585.8173	1586.3339	1	1587.5461	1.2122	0.00069351	1589.3164	n/a
1600.6976	1602.5531	hc021	102	3	3	1	0.26	1	1	9.625	1	1591.0659	1600.6976	1601.1976	1	1602.5531	1.3555	0.00079467	1604.1972	1605.4353
1616.4627	1618.4728	hc021	103	1	3	2	0.48	0	1	10.5	1	1605.9471	1616.4627	1616.9627	1	1618.4728	1.5101	0.00067445	1619.9455	n/a
1633.0891	1635.1925	hc021	104	2	3	1	0.08	0	0	11.375	0	1621.7085	1633.0891	1633.589	1	1635.1925	1.6035	0.00068251	1636.5774	n/a
1647.9688	1649.8959	hc021	105	3	3	3	0.9	1	1	9.625	0	1638.3378	1647.9688	1648.4596	1	1649.8959	1.4363	0.00067225	1651.4591	1652.6924
1663.715	1665.7593	hc021	106	2	3	2	0.6	1	1	10.5	1	1653.2175	1663.715	1664.2247	1	1665.7593	1.5346	0.00067005	1667.2141	1668.4471
1679.4732	1681.1507	hc021	107	2	3	2	0.35	0	1	10.5	0	1668.9638	1679.4732	1679.9778	1	1681.1507	1.1729	0.00067738	1682.9601	n/a
1695.224	1696.9901	hc021	108	3	3	2	0.6	1	1	10.5	1	1684.7226	1695.224	1695.7239	1	1696.9901	1.2662	0.00067151	1698.7063	1699.9525
