onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
10.5621	11.8378	hc026	1	1	1	2	0.53	0	0	10.5	0	0.046506	10.5621	11.0791	1	11.8378	0.75872	0.00071991	14.03	n/a
25.4275	27.0217	hc026	2	2	1	1	0.13	0	1	9.625	0	15.7782	25.4275	25.9274	1	27.0217	1.0943	0.00068399	28.9105	n/a
42.0536	43.5653	hc026	3	2	1	3	0.91	1	0	11.375	1	30.6562	42.0536	42.571000000000005	1	43.5653	0.9943299999999999	0.00065833	45.5359	46.7693
56.9335	58.3411	hc026	4	3	1	1	0.15	1	1	9.625	1	47.2857	56.9335	57.4335	0	58.3411	0.90761	0.00067812	60.416000000000004	n/a
72.68	74.0209	hc026	5	1	1	2	0.61	0	1	10.5	0	62.1656	72.68	73.1799	1	74.0209	0.8409700000000001	0.00066053	76.1623	n/a
89.3054	90.7487	hc026	6	3	1	1	0.31	1	0	11.375	0	77.9121	89.3054	89.8094	0	90.7487	0.93925	0.00065613	92.792	n/a
105.0559	106.9003	hc026	7	3	1	3	0.79	1	0	10.5	0	94.5416	105.0559	105.5708	1	106.9003	1.3295	0.00066199	108.5382	109.7766
120.8195	122.0274	hc026	8	1	1	1	0.1	0	0	10.5	0	110.3047	120.8195	121.3195	1	122.0274	0.7079300000000001	0.00066493	124.2858	n/a
135.6849	136.9632	hc026	9	3	1	2	0.58	1	1	9.625	0	126.0523	135.6849	136.1988	0	136.9632	0.76439	0.00066053	139.1678	n/a
152.3169	153.875	hc026	10	3	1	2	0.36	1	0	11.375	1	140.9178	152.3169	152.8284	1	153.875	1.0466	0.00065686	155.7997	157.0344
168.0749	169.4106	hc026	11	1	1	3	0.82	0	0	10.5	1	157.5497	168.0749	168.5748	1	169.4106	0.83581	0.00065979	171.5485	n/a
183.8213	185.31400000000002	hc026	12	3	1	1	0.22	1	0	10.5	1	173.30700000000002	183.8213	184.3212	0	185.31400000000002	0.99282	0.00065833	187.3036	n/a
199.5677	201.0342	hc026	13	3	1	3	0.87	0	0	10.5	1	189.0534	199.5677	200.0676	0	201.0342	0.96665	0.00079762	203.0501	n/a
215.3142	216.6813	hc026	14	1	1	2	0.45	0	0	10.5	0	204.8165	215.3142	215.81400000000002	1	216.6813	0.86726	0.00066126	218.8131	n/a
230.19400000000002	231.5369	hc026	15	2	1	3	0.7	0	1	9.625	0	220.5629	230.19400000000002	230.6939	1	231.5369	0.843	0.00065833	233.6765	n/a
245.9424	247.3765	hc026	16	1	1	1	0.27	0	1	10.5	1	235.4432	245.9424	246.4423	1	247.3765	0.9342	0.00065833	249.4397	n/a
262.5701	263.8801	hc026	17	2	1	2	0.4	0	0	11.375	0	251.1919	262.5701	263.0743	1	263.8801	0.80581	0.00066419	266.069	n/a
278.323	279.9277	hc026	18	1	1	1	0.18	0	0	10.5	1	267.8238	278.323	278.823	1	279.9277	1.1048	0.00065906	281.8154	n/a
294.0795	295.3598	hc026	19	1	1	3	0.74	0	0	10.5	0	283.5725	294.0795	294.5794	1	295.3598	0.78047	0.00066053	297.5712	n/a
309.8259	311.3993	hc026	20	3	1	2	0.52	1	0	10.5	1	299.3282	309.8259	310.3258	0	311.3993	1.0735	0.00066199	313.3251	n/a
324.7058	326.23900000000003	hc026	21	1	1	1	0.34	0	1	9.625	0	315.0746	324.7058	325.2057	1	326.23900000000003	1.0333	0.00065906	328.205	n/a
341.3354	343.1823	hc026	22	3	1	3	0.7	1	0	11.375	1	329.9546	341.3354	341.8353	0	343.1823	1.347	0.00066713	344.8177	n/a
356.2165	357.7266	hc026	23	2	1	2	0.65	0	1	9.625	0	346.5841	356.2165	356.7164	1	357.7266	1.0101	0.00066126	359.6995	n/a
372.8316	374.3899	hc026	24	2	1	2	0.49	1	0	11.375	1	361.4493	372.8316	373.3484	1	374.3899	1.0415	0.00065833	376.3314	377.5677
387.7139	389.1337	hc026	25	2	1	2	0.57	0	1	9.625	0	378.0813	387.7139	388.2138	1	389.1337	0.91986	0.00066199	391.2133	n/a
403.4712	405.4613	hc026	26	2	1	1	0.22	1	1	10.5	1	392.9634	403.4712	403.9711	1	405.4613	1.4902	0.00065466	406.9621	408.199
420.1007	421.6605	hc026	27	1	1	2	0.4	1	0	11.375	1	408.72	420.1007	420.6006	1	421.6605	1.0599	0.00065979	423.5941	424.8286
435.8471	437.7884	hc026	28	2	1	1	0.27	1	0	10.5	1	425.3495	435.8471	436.3469	1	437.7884	1.4415	0.00067152	439.3463	440.5831
451.6102	453.2599	hc026	29	1	1	3	0.88	0	0	10.5	1	441.0959	451.6102	452.1101	1	453.2599	1.1498	0.00065246	455.0925	n/a
466.4739	468.1061	hc026	30	3	1	1	0.09	1	1	9.625	0	456.8423	466.4739	466.9739	0	468.1061	1.1322	0.0025299	469.9734	n/a
482.2393	484.1871	hc026	31	3	1	2	0.44	1	1	10.5	1	471.7234	482.2393	482.7365	0	484.1871	1.4507	0.00065833	485.7221	n/a
