onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
10.5636	11.8418	hc033	1	1	1	2	0.53	0	0	10.5	0	0.11846	10.5636	11.122	1	11.8418	0.7197399999999999	0.00053003	14.0354	n/a
25.4299	26.9131	hc033	2	2	1	1	0.13	0	1	9.625	0	15.7875	25.4299	25.9305	0	26.9131	0.98259	0.0003255	28.9009	n/a
42.0483	43.3686	hc033	3	2	1	3	0.91	1	0	11.375	1	30.6689	42.0483	42.5608	1	43.3686	0.8078	0.00027858	45.5353	46.7727
56.9319	58.4562	hc033	4	3	1	1	0.15	1	1	9.625	1	47.2874	56.9319	57.431999999999995	0	58.4562	1.0242	0.00045672	60.4102	n/a
72.67399999999999	74.0002	hc033	5	1	1	2	0.61	0	1	10.5	0	62.1597	72.67399999999999	73.1826	1	74.0002	0.81762	0.00078735	76.1693	n/a
89.3202	90.6882	hc033	6	3	1	1	0.31	1	0	11.375	0	77.9229	89.3202	89.8201	0	90.6882	0.8680399999999999	0.0013298	92.7875	n/a
105.0514	106.8386	hc033	7	3	1	3	0.79	1	0	10.5	0	94.5396	105.0514	105.5685	1	106.8386	1.2701	0.00044792	108.54899999999999	109.7831
120.8295	122.5342	hc033	8	1	1	1	0.1	0	0	10.5	0	110.3152	120.8295	121.3294	1	122.5342	1.2048	0.00038194	124.3057	n/a
135.6926	137.5176	hc033	9	3	1	2	0.58	1	1	9.625	0	126.0577	135.6926	136.2092	1	137.5176	1.3084	0.00030424	139.1751	140.4138
152.322	153.7412	hc033	10	3	1	2	0.36	1	0	11.375	1	140.9247	152.322	152.8219	0	153.7412	0.91927	0.00031523	155.8072	n/a
168.071	169.2368	hc033	11	1	1	3	0.82	0	0	10.5	1	157.5593	168.071	168.5714	1	169.2368	0.6654	0.00043106	171.5581	n/a
183.8217	185.0524	hc033	12	3	1	1	0.22	1	0	10.5	1	173.31	183.8217	184.3312	0	185.0524	0.72123	0.00041493	187.3138	n/a
199.5776	200.9157	hc033	13	3	1	3	0.87	0	0	10.5	1	189.0634	199.5776	200.0774	1	200.9157	0.83829	0.00038488	203.0601	n/a
215.3406	216.6682	hc033	14	1	1	2	0.45	0	0	10.5	0	204.8115	215.3406	215.8404	1	216.6682	0.82778	0.0011795999999999998	218.8102	n/a
230.2203	231.5948	hc033	15	2	1	3	0.7	0	1	9.625	0	220.5726	230.2203	230.7203	1	231.5948	0.8745200000000001	0.00043913	233.6933	n/a
245.9667	247.3944	hc033	16	1	1	1	0.27	0	1	10.5	1	235.4454	245.9667	246.4666	1	247.3944	0.92781	0.00043399	249.44400000000002	n/a
262.5921	263.9302	hc033	17	2	1	2	0.4	0	0	11.375	0	251.1987	262.5921	263.096	1	263.9302	0.8342299999999999	0.0007264999999999999	266.0625	n/a
278.3429	279.8011	hc033	18	1	1	1	0.18	0	0	10.5	1	267.8282	278.3429	278.8434	1	279.8011	0.9577100000000001	0.00028298	281.8247	n/a
294.0936	295.7853	hc033	19	1	1	3	0.74	0	0	10.5	0	283.5744	294.0936	294.5941	1	295.7853	1.1912	0.00077782	297.5807	n/a
309.8516	311.2804	hc033	20	3	1	2	0.52	1	0	10.5	1	299.3326	309.8516	310.3515	1	311.2804	0.9288200000000001	0.0004186	313.3313	314.5624
324.7315	326.2239	hc033	21	1	1	1	0.34	0	1	9.625	0	315.0837	324.7315	325.2314	1	326.2239	0.99255	0.00034822	328.1978	n/a
341.3458	342.6074	hc033	22	3	1	3	0.7	1	0	11.375	1	329.9635	341.3458	341.8464	1	342.6074	0.7609899999999999	0.00044426	344.8328	346.0683
356.2289	357.4313	hc033	23	2	1	2	0.65	0	1	9.625	0	346.5849	356.2289	356.7406	1	357.4313	0.69071	0.00059894	359.7159	n/a
372.8535	374.0065	hc033	24	2	1	2	0.49	1	0	11.375	1	361.468	372.8535	373.3645	1	374.0065	0.6419699999999999	0.00045159	376.336	377.57599999999996
387.7333	388.9258	hc033	25	2	1	2	0.57	0	1	9.625	0	378.0866	387.7333	388.2477	1	388.9258	0.6781699999999999	0.00020747	391.2175	n/a
403.4979	405.0378	hc033	26	2	1	1	0.22	1	1	10.5	1	392.9695	403.4979	403.9984	1	405.0378	1.0394	0.00051024	406.9683	408.2057
420.1162	421.3649	hc033	27	1	1	2	0.4	1	0	11.375	1	408.7283	420.1162	420.6256	1	421.3649	0.73925	0.00022286	423.5914	424.8334
435.87199999999996	437.2843	hc033	28	2	1	1	0.27	1	0	10.5	1	425.3553	435.87199999999996	436.3719	1	437.2843	0.91243	0.00019134	439.3544	440.5883
451.6183	453.3639	hc033	29	1	1	3	0.88	0	0	10.5	1	441.106	451.6183	452.1182	1	453.3639	1.2456	0.00035702	455.1047	n/a
466.5008	468.1556	hc033	30	3	1	1	0.09	1	1	9.625	0	456.8568	466.5008	467.0014	0	468.1556	1.1542	0.00032696	469.9879	n/a
482.2611	483.6193	hc033	31	3	1	2	0.44	1	1	10.5	1	471.7399	482.2611	482.7521	0	483.6193	0.8672200000000001	0.00047578	485.7387	n/a
498.8699	500.2346	hc033	32	3	1	3	0.95	1	0	11.375	0	487.4905	498.8699	499.3904	1	500.2346	0.84419	0.00044352	502.3571	503.5976
514.6373	516.0742	hc033	33	2	1	3	0.75	1	0	10.5	1	504.10900000000004	514.6373	515.1379	1	516.0742	0.9362799999999999	0.00034749	518.1192	519.3512
530.3881	531.8738	hc033	34	2	1	1	0.06	1	0	10.5	0	519.8688	530.3881	530.8886	0	531.8738	0.98514	0.0004252	533.8655	n/a
545.2712	546.658	hc033	35	2	1	3	0.83	0	1	9.625	0	535.6151	545.2712	545.7718	1	546.658	0.8862700000000001	0.0010827999999999999	548.7454	n/a
561.0219999999999	562.4568	hc033	36	1	1	3	0.66	0	1	10.5	1	550.4949	561.0219999999999	561.509	1	562.4568	0.94781	0.00043913	564.4923	n/a
576.756	578.4082	hc033	37	3	2	3	0.84	1	1	10.5	1	566.2443	576.756	577.2733	1	578.4082	1.1349	0.00034236	580.243	581.4847
592.5234	593.9917	hc033	38	1	2	3	0.93	0	1	10.5	0	582.0042	592.5234	593.024	1	593.9917	0.96772	0.00028518	596.0009	n/a
609.1478	610.4154	hc033	39	3	2	1	0.2	1	0	11.375	1	597.7505	609.1478	609.6478	0	610.4154	0.76762	0.00054103	612.6303	n/a
624.0277	625.6628	hc033	40	3	2	2	0.41	1	1	9.625	1	614.3807	624.0277	624.5276	1	625.6628	1.1352	0.00041493	627.5101	628.7429
639.7757	641.4622	hc033	41	1	2	2	0.59	0	1	10.5	1	629.264	639.7757	640.2762	1	641.4622	1.186	0.00028737	643.2627	n/a
655.5264	657.0063	hc033	42	1	2	3	0.85	0	1	10.5	1	645.0147	655.5264	656.0269999999999	1	657.0063	0.9793799999999999	0.00094643	659.0136	n/a
672.1615	673.8051	hc033	43	3	2	3	0.92	1	0	11.375	1	660.7689999999999	672.1615	672.6619999999999	1	673.8051	1.143	0.00020307	675.6322	676.8760000000001
687.0295	689.1089999999999	hc033	44	2	2	3	0.8	0	1	9.625	0	677.3984	687.0295	687.5294	1	689.1089999999999	1.5796	0.00062607	690.5149	n/a
702.7953	704.3003	hc033	45	1	2	2	0.37	0	1	10.5	0	692.2671	702.7953	703.2924	1	704.3003	1.0079	0.00031597	706.2656	n/a
718.5388	719.9476	hc033	46	1	2	3	0.8	1	1	10.5	1	708.0245	718.5388	719.0466	1	719.9476	0.9010100000000001	0.00029764	722.0213	723.2585
734.2968	735.6191	hc033	47	2	2	2	0.62	0	1	10.5	0	723.7708	734.2968	734.8016	1	735.6191	0.8175100000000001	0.00029177	737.7674	n/a
750.048	751.5069	hc033	48	2	2	1	0.11	1	1	10.5	0	739.5338	750.048	750.5481	0	751.5069	0.95888	0.00047138	753.5305	n/a
766.6826	768.1704	hc033	49	3	2	2	0.5	1	0	11.375	0	755.2801	766.6826	767.1832	1	768.1704	0.9872799999999999	0.00036068	770.1598	771.393
781.5573	783.4418	hc033	50	3	2	2	0.63	1	1	9.625	0	771.9095	781.5573	782.0572	1	783.4418	1.3846	0.00026392	785.0396	786.2714
798.1867	799.2972	hc033	51	2	2	3	0.89	0	0	11.375	1	786.7893	798.1867	798.6866	1	799.2972	0.6106	0.00019207	801.669	n/a
813.0505	814.7447	hc033	52	1	2	3	0.71	0	1	9.625	0	803.4187	813.0505	813.5677	1	814.7447	1.177	0.00020453	816.5375	n/a
829.696	831.3233	hc033	53	2	2	1	0.19	1	0	11.375	1	818.2986	829.696	830.1861	1	831.3233	1.1372	0.00067005	833.1727	834.4060000000001
845.4423	846.6560000000001	hc033	54	2	2	2	0.46	0	0	10.5	1	834.928	845.4423	845.9421	1	846.6560000000001	0.7138899999999999	0.00034529	848.9247	n/a
860.3054	861.7914	hc033	55	3	2	1	0.07	0	1	9.625	0	850.6754	860.3054	860.822	0	861.7914	0.96944	0.0004186	863.8044	n/a
876.9515	878.3349	hc033	56	3	2	2	0.55	1	0	11.375	1	865.5585	876.9515	877.455	1	878.3349	0.87982	0.00026538	880.4248	881.663
891.8209	893.1026	hc033	57	2	2	3	0.67	1	1	9.625	1	882.1835	891.8209	892.3312	1	893.1026	0.77136	0.00036288	895.3079	896.5424
908.456	910.3261	hc033	58	2	2	1	0.25	0	0	11.375	1	897.06	908.456	908.9606	1	910.3261	1.3655	0.00054543	911.9264	n/a
924.207	926.5334	hc033	59	3	2	1	0.28	1	0	10.5	1	913.6783	924.207	924.7073	1	926.5334	1.8261	0.00026758	927.6895	928.9213
939.0869	940.5169	hc033	60	1	2	1	0.32	0	1	9.625	0	929.4392	939.0869	939.5904	1	940.5169	0.92655	0.00032623	942.5603	n/a
954.8238	956.5408	hc033	61	3	2	3	0.68	1	1	10.5	1	944.3188	954.8238	955.3419	1	956.5408	1.1989	0.00047505	958.3155	959.5535
970.5961	972.1160000000001	hc033	62	1	2	1	0.07	0	1	10.5	0	960.0652	970.5961	971.096	0	972.1160000000001	1.02	0.00027784	974.0618	n/a
987.2263	988.6515	hc033	63	2	2	2	0.54	1	0	11.375	0	975.828	987.2263	987.7269	1	988.6515	0.92463	0.00031303	990.6968	991.9369
1002.9771	1004.1631	hc033	64	2	2	3	0.75	1	0	10.5	0	992.4576	1002.9771	1003.4777	1	1004.1631	0.68543	0.00041273	1006.4541	1007.6892
1017.8516	1019.9227	hc033	65	1	2	1	0.23	0	1	9.625	0	1008.2038	1017.8516	1018.3439999999999	1	1019.9227	1.5788	0.00041347	1021.334	n/a
1033.6109	1034.8421	hc033	66	1	2	2	0.5	0	1	10.5	0	1023.0837	1033.6109	1034.1145	1	1034.8421	0.7276	0.0004098	1037.0814	n/a
1050.2125	1051.7216	hc033	67	3	2	1	0.14	1	0	11.375	0	1038.8333	1050.2125	1050.7299	0	1051.7216	0.99169	0.00042593	1053.7097	n/a
1065.1124	1066.5134	hc033	68	2	2	1	0.32	0	1	9.625	0	1055.4684	1065.1124	1065.613	1	1066.5134	0.90038	0.00056595	1068.5895	n/a
1081.7366	1083.0966	hc033	69	1	2	2	0.45	0	0	11.375	1	1070.3392	1081.7366	1082.2197	1	1083.0966	0.8768799999999999	0.00028591	1085.2189	n/a
1097.4829	1098.9761	hc033	70	2	2	2	0.38	1	0	10.5	0	1086.9699	1097.4829	1097.9828	1	1098.9761	0.9933200000000001	0.00029251	1100.9687	1102.2053
1112.3647	1113.8881	hc033	71	3	2	3	0.76	1	1	9.625	0	1102.7206	1112.3647	1112.8652	1	1113.8881	1.0228	0.00048311	1115.8518	1117.0835
1128.9997	1130.5991	hc033	72	1	2	1	0.16	0	0	11.375	0	1117.6037	1128.9997	1129.5003	1	1130.5991	1.0988	0.0003035	1132.4746	n/a
1143.872	1145.2306	hc033	73	3	3	2	0.39	1	1	9.625	0	1134.2242	1143.872	1144.3719	1	1145.2306	0.85872	0.00028298	1147.3543	1148.5898
1159.6183	1161.5982	hc033	74	2	3	1	0.24	1	1	10.5	0	1149.1052	1159.6183	1160.1348	1	1161.5982	1.4634	0.00041933	1163.1039	1164.3442
1176.2477	1177.5341	hc033	75	2	3	3	0.86	0	0	11.375	0	1164.856	1176.2477	1176.7525	1	1177.5341	0.7816	0.00076389	1179.7391	n/a
