onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
10.5675	12.3287	hc016	1	1	1	2	0.53	0	0	10.5	0	0.11852	10.5675	11.1179	1	12.3287	1.2108	0.00066858	14.0351	n/a
25.4288	27.0325	hc016	2	2	1	1	0.13	0	1	9.625	0	15.7836	25.4288	25.916	1	27.0325	1.1165	0.00066712	28.899	n/a
42.0581	43.504	hc016	3	2	1	3	0.91	1	0	11.375	1	30.6655	42.0581	42.5759	1	43.504	0.92816	0.00064805	45.5307	46.7711
56.9379	58.3036	hc016	4	3	1	1	0.15	1	1	9.625	1	47.2901	56.9379	57.4377	1	58.3036	0.8659	0.00064219	60.4124	61.6472
72.684	74.0945	hc016	5	1	1	2	0.61	0	1	10.5	0	62.1698	72.684	73.1947	1	74.0945	0.8998	0.00064366	76.1663	n/a
89.3133	90.7659	hc016	6	3	1	1	0.31	1	0	11.375	0	77.916	89.3133	89.8132	1	90.7659	0.9527399999999999	0.00065172	92.7956	94.0274
105.0595	106.4535	hc016	7	3	1	3	0.79	1	0	10.5	0	94.5453	105.0595	105.5748	1	106.4535	0.8786299999999999	0.00064879	108.5418	109.7804
120.8233	122.2367	hc016	8	1	1	1	0.1	0	0	10.5	0	110.3081	120.8233	121.3233	1	122.2367	0.91345	0.00064805	124.2895	n/a
135.702	136.9883	hc016	9	3	1	2	0.58	1	1	9.625	0	126.0561	135.702	136.1885	1	136.9883	0.7998	0.00064512	139.1715	140.41299999999998
152.3313	153.6838	hc016	10	3	1	2	0.36	1	0	11.375	1	140.9341	152.3313	152.8312	1	153.6838	0.85254	0.00064439	155.8032	157.0404
168.0854	169.4033	hc016	11	1	1	3	0.82	0	0	10.5	1	157.5633	168.0854	168.5853	1	169.4033	0.818	0.00067445	171.56	n/a
183.8338	185.1226	hc016	12	3	1	1	0.22	1	0	10.5	1	173.3096	183.8338	184.3338	1	185.1226	0.78883	0.00063999	187.3061	188.5458
199.5865	200.9618	hc016	13	3	1	3	0.87	0	0	10.5	1	189.0666	199.5865	200.0864	1	200.9618	0.87539	0.00063999	203.0652	n/a
215.3326	216.737	hc016	14	1	1	2	0.45	0	0	10.5	0	204.8185	215.3326	215.8158	1	216.737	0.9212100000000001	0.00064146	218.8152	n/a
230.1959	231.4968	hc016	15	2	1	3	0.7	0	1	9.625	0	220.5647	230.1959	230.7125	1	231.4968	0.78428	0.00064805	233.6954	n/a
245.9615	247.2081	hc016	16	1	1	1	0.27	0	1	10.5	1	235.4453	245.9615	246.4584	1	247.2081	0.7497	0.00064659	249.4439	n/a
262.5927	264.0157	hc016	17	2	1	2	0.4	0	0	11.375	0	251.1938	262.5927	263.0926	1	264.0157	0.92306	0.00063852	266.0757	n/a
278.3244	279.6311	hc016	18	1	1	1	0.18	0	0	10.5	1	267.8253	278.3244	278.8506	1	279.6311	0.78045	0.00064366	281.824	n/a
294.0896	295.3264	hc016	19	1	1	3	0.74	0	0	10.5	0	283.5739	294.0896	294.5968	1	295.3264	0.7296100000000001	0.00064292	297.5793	n/a
